GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Trading,com.poseidoncapitalsolutions.trading.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Trading,com.poseidoncapitalsolutions.trading.exception,GlobalExceptionHandler,13,7,0,0,3,2,1,2,1,2
Trading,com.poseidoncapitalsolutions.trading.config,SecurityConfig,84,0,0,0,22,0,6,0,6,0
Trading,com.poseidoncapitalsolutions.trading.config,SwaggerConfig,17,0,0,0,6,0,2,0,2,0
Trading,com.poseidoncapitalsolutions.trading.config,UserDetailsServiceImpl,51,0,2,0,15,0,4,0,3,0
Trading,com.poseidoncapitalsolutions.trading.service,CurvePointService,0,88,0,0,0,22,0,10,0,10
Trading,com.poseidoncapitalsolutions.trading.service,RatingService,0,83,0,0,0,21,0,9,0,9
Trading,com.poseidoncapitalsolutions.trading.service,RuleNameService,0,90,0,0,0,23,0,9,0,9
Trading,com.poseidoncapitalsolutions.trading.service,BidListService,0,96,0,0,0,24,0,10,0,10
Trading,com.poseidoncapitalsolutions.trading.service,UserService,11,85,0,0,3,21,1,9,1,9
Trading,com.poseidoncapitalsolutions.trading.service,TradeService,0,96,0,0,0,24,0,10,0,10
Trading,com.poseidoncapitalsolutions.trading.controller,RuleNameController,7,83,1,3,2,21,1,8,0,7
Trading,com.poseidoncapitalsolutions.trading.controller,ErrorController,14,0,0,0,5,0,3,0,3,0
Trading,com.poseidoncapitalsolutions.trading.controller,LoginController,12,0,0,0,4,0,2,0,2,0
Trading,com.poseidoncapitalsolutions.trading.controller,BidListController,7,82,1,3,2,21,1,8,0,7
Trading,com.poseidoncapitalsolutions.trading.controller,CurveController,7,82,1,3,2,21,1,8,0,7
Trading,com.poseidoncapitalsolutions.trading.controller,UserController,7,78,1,3,2,20,1,8,0,7
Trading,com.poseidoncapitalsolutions.trading.controller,TradeController,7,82,1,3,2,21,1,8,0,7
Trading,com.poseidoncapitalsolutions.trading.controller,HomeController,5,0,0,0,2,0,2,0,2,0
Trading,com.poseidoncapitalsolutions.trading.controller,RatingController,7,83,1,3,2,21,1,8,0,7
